Tester,Audience,Run,Human_Explanation,AI_Explanation,Accuracy,Accuracy_Comment,Completeness,Completeness_Comment,Business_Friendly,Business_Friendliness_Comment,Other_Comment
Matt,337815,2,This audience will select users that have ordered a product with product category Wiper Blades in the last 6 months.,The query retrieves customer IDs from the customers table who placed an order for Wiper Blades in the past 6 months by joining the orders and products tables and filtering for orders in the past 6 months with a product name of Wiper Blades.,Success,,Success,,Success,,
Matt,416438,2,,This analyzes customers to identify those that are active engaged and likely to convert based on their profile activity purchases company and event data. It excludes customers who have opted out of email.,Success,,Success,,Success,,
Joe,322963,1,This is a list of web visitors over the last 30 days and they engaged mostly with the homeowners pages category on the website,The query groups customers by ID filters for those who viewed the 'Homeowners' page in the past 30 days and identifies which customers meet that criteria.,Success,,Success,,Success,,
Joe,284725,1,This is an audience of customers who have churned and had a renewal date in the last 30 days,This query retrieves customer IDs from an AIQ customers table that were registered with a company in the past 30 days intersecting with customer IDs from the AIQ customers table marked as churned in the users table. It identifies recently registered customers who have churned.,Success,The unlying attribute used was correct the name of the attribute was differently named but this is accurate,Success,,Fail,This was definitely more technical than business friendly,
Joe,335700,1,This is an audience of folks that show signs of high engagement. Specifically folks who have an engagement percentage of greater than 10 have opted in on SMS promotions and have browsed the web page in the last 3 days and have an average weekly login which is greater than 3,The summary discusses customers who have opted into email clicked frequently in the past 3 days and have a model score over 10%. It examines the aiq_id email opt-in status click frequency and model score for customers. The goal is to find customers meeting all three criteria.,Not sure,this is partially accurate,Not sure,there are 4 conditions vs 3,Not sure,semi business friendly,
Joe,312754,1,These are all contacts at accounts who are at the end of their trial. Specifically candidates from accounts with a revenue of > $100K the company is located in the west coast and they have a valid DUNS number. This does not consider the contacts who have filled up a form recently or contacts that have an open opportunity.,This analysis identifies companies in certain western US states that have 100k+ employees where the contact opted into emails and filters out those with recent sales opportunities.,Not sure,missing the open opportunities component of the query. also we are creating a list of user and not companies here,Not sure,missing the open opportunities component of the query but largely there,Success,,
Joe,374613,1,High-Value Retail traders list those who have active joint and individual brokerage accounts who have opted in. This cohort include traders who have opened their account in the last 2 years they are high frequency trader have 250L in invstable assets and have more than 50 trades since the account creation.,This summarizes customer segmentation logic to identify valuable customers for a marketing campaign. It filters customers by brokerage type recent activity high lifetime value frequent events excluding those who opted out of communications.,Not sure,missing specific values but largely accurate,Not sure,missing component of the query like the spend,Success,,
Joe,355454,1,These are web visitors who have either visited the webage over the last 3 days or visited the webpage - bag over the last 7 day who have browsed something was assigned a client advisor and have more than two items in the wishlist. This does not include an active customer who has just purchased.,"The summary discusses customers who viewed bags added wishlist items were contacted by certain advisors and did not recently purchase similar products. Specifically it selects customer IDs who viewed bag pages in the past week have empty name/email/phone visited a ""latest bags"" page added multiple wishlist items were contacted by Advisor 1-5 and did not order purses/bags/backpacks in the past day.",Success,,Success,,Success,,
Joe,386377,1,This is a list of users who started their trials in the last 10 days,This summary discusses identifying users who registered between the start of the 10th day before today and the end of yesterday in New York time grouping the results by customer ID.,Success,,Success,,Not sure,probably an easier way to describe this,
Joe,284707,1,A list of webinar attendees who browsed the webpage using a mobile device and have opted in to email marketing,This SQL query identifies individuals who attended a webinar accessed the site from a mobile device and did not opt out of emails. It starts with a base table of customers. It joins event data to find webinar attendees. It joins clickstream data to find mobile users. It joins user data to exclude email opt-outs. It performs set intersections and exclusions to narrow down the target audience. The result is a list of customer IDs for individuals who match all three criteria - attended a webinar used a mobile device did not opt out of emails.,Success,,Success,Could have stopped after the first line,Fail,First line is great after that it got technical,
Joe,322963,2,This is a list of web visitors over the last 30 days and they engaged mostly with the homeowners pages category on the website,This summarizes customer data from AIQ to identify homeowners based on recent webpage visits. It filters AIQ customer IDs by matching them to recent clickstream events for the homepage within the past 30 days. It groups the customer IDs and checks if any of their events match 'Homeowners' keeping those customer IDs where true.,Fail,,Fail,,Fail,,
Joe,284725,2,This is an audience of customers who have churned and had a renewal date in the last 30 days,This SQL finds the aiq_id values that are both in the aiq_customers table joined to the companies table where the registration date is in the past 30 days and also in the aiq_customers table joined to the users table where the user_id is 'churned'. It identifies recently registered customers who have churned.,Success,,Success,,Fail,This was definitely more technical than business friendly,
Joe,335700,2,This is an audience of folks that show signs of high engagement. Specifically folks who have an engagement percentage of greater than 10 have opted in on SMS promotions and have browsed the web page in the last 3 days and have an average weekly login which is greater than 3,The summary describes customers identified from a database who meet certain criteria related to their activity over the past 3 days email preferences and a score calculated based on a model. Specifically it selects customers who on average performed more than 3 actions over the past 3 days opted into receiving emails and scored above 10% based on a normalized model score.,Not sure,missed the login criteria,Not sure,missed the login criteria,Success,more business friendly that the previous one,
Joe,312754,2,These are all contacts at accounts who are at the end of their trial. Specifically candidates from accounts with a revenue of > $100K the company is located in the west coast and they have a valid DUNS number. This does not consider the contacts who have filled up a form recently or contacts that have an open opportunity.,The query identifies user accounts that meet certain criteria across multiple data sources including having opted into email being located in certain states working at large companies and not having recently opened sales opportunities or clicked on website content.,Not sure,vague in description not specfic,Not sure,missing some criteria,Success,,
Joe,374613,2,High-Value Retail traders list those who have active joint and individual brokerage accounts who have opted in. This cohort include traders who have opened their account in the last 2 years they are high frequency trader have 250L in invstable assets and have more than 50 trades since the account creation.,This summary identifies customers who have been active high-spenders for over two years excluding those who opted out of emails by looking at their account info event activity and preferences.,Success,,Success,,,,
Joe,355454,2,These are web visitors who have either visited the webage over the last 3 days or visited the webpage - bag over the last 7 day who have browsed something was assigned a client advisor and have more than two items in the wishlist. This does not include an active customer who has just purchased.,The data looks at customers who viewed or added bags or similar items to their wishlist or cart but did not purchase them. It identifies customers who are interested in these products based on their site activity in the past week but excludes those who actually bought such items in the past day. The goal is to find customers to target with promotions for bags.,Success,missing specifics but good description,Success,,Success,,
Joe,386377,2,This is a list of users who started their trials in the last 10 days,The summary discusses aiq customers their aiq ids user ids registration dates time intervals and groupings of aiq customer ids. It retrieves aiq customer ids from a table left joins to user ids filters the registration dates to a range based on current timestamp calculations and intervals and groups the results by aiq customer id.,Fail,,Fail,,Fail,,
Joe,284707,2,A list of webinar attendees who browsed the webpage using a mobile device and have opted in to email marketing,This examines audience members who attended webinars accessed from mobile and did not opt out of emails to find the intersection and difference in order to determine the audience for targeted messaging.,Success,,Success,,Not sure,Defintely better than first run but can be better,
Phil,293987,1,Customers that aren't opted in for email marketing,The query selects aiq IDs from the aiq_customers_base table. It left joins to the users table on aiq ID. It filters for users with email opt-in false. It groups the results by aiq ID.,Success,,Success,,Fail,,
Phil,320262,1,Customers that log in on average at least 4 times a week,aiq_id from aiq_customers_base and clickstream tables are grouped by aiq_id having average event_action greater than 4.,Success,It's correct based on the raw sql definition but not any of the attribute metadata,Not sure,It describes the raw sql definition but not any of the attribute metadata,Fail,,
Phil,413150,1,Anonymous visitors who browsed coats in the last 7 days and stayed on the page for at least 5 minutes,The summary discusses identifying customers who have recently viewed trenchcoat product pages more than 5 times and do not have contact information stored to target for retargeting campaigns.,Success,,Fail,"Didn't mention the ""last 7 days"" filter",Not sure,"Kind of weird language using ""The summary discusses...""",
Phil,413923,1,Customers who have spent a lot in the last 6 months have a high email open rate have children in their household and do not have an active support issue,This analyzes customer data to identify customers who have placed multiple large orders recently have high email engagement belong to a company but have not had recent open events. It intersected customers with recent high-value orders and high email engagement intersected this with customers belonging to companies then excluded customers with recent open events. The result is customers valued by their orders and engagement who may be receptive to targeting.,Fail,,Fail,,Success,,Weird mix of audience definitions based on their names vs audience definitions based on underlying attribute filters
Phil,284600,1,Users that have submitted a signup form have browsed using a mobile device click through an email in the last 7 days but who have not recently churned,This queries customers who filled out a form on a mobile device and opened an email in the past week excluding those who registered or were marked as churned in the past 30 days. It identifies engaged mobile customers who recently interacted.,Fail,"It's mostly correct but it's not users that ""filled out a form on a mobile device"" but both used a mobile device _and_ filled out the form though that could be in separate sessions",Success,,Success,,
Phil,416438,1,Users who have visited the website looking for moving storage in the last 14 days or have a reservation date 30 days from now. They also must have been a customer in the last 5 years have income over 200K haven't completed the reservation process and are opted in for email marketing,This extracts customers from a database who have recently browsed made purchases or reservations have contact info and work for companies but have not opted out of emails.,Fail,,Fail,,Success,,
Phil,369448,1,Users from new york who have spent at least 1000 in the last year,The summary provides information about customers who have placed orders in the past year and spent over $1000 as well as customers located in New York. It identifies these high-value New York customers.,Success,,Success,,Not sure,"Kind of weird language using ""The summary provides information about...""",
Phil,293328,1,Customers who are millenial pet owners with children have new business accounts a high propensity to purchase pet insurance are at a contact_id level and are not on a no-contact list have resent contact with an agent or has recently opened a claim,This summarizes the process of selecting a targeted audience of pet insurance interested millennials from a customer database by filtering out those who have opted out of emails were emailed recently or have opened emails to target those likely to convert based on model scores. It focuses the audience on users with updated info in the past 60 days and high pet insurance propensity scores.,Fail,,Fail,,Fail,,
Phil,293987,2,Customers that aren't opted in for email marketing,The summary describes a join between two tables aiq_customers_base__latest and users__latest to filter aiq_id values where the email_opt_in field in the users table is false. It groups the results by aiq_id from the aiq_customers_base table.,Success,,Success,,Fail,,
Phil,320262,2,Customers that log in on average at least 4 times a week,The summary describes audience ids from an audience table left joined with a table containing events per audience id grouped by audience id and filtered for audience ids with average events per id greater than 4.,Fail,,Fail,,Fail,,
Phil,413150,2,Anonymous visitors who browsed coats in the last 7 days and stayed on the page for at least 5 minutes,The summary discusses identifying customers who viewed trench coat related pages in the past week and have made over 5 clicks as well as customers with missing profile information in order to find users to target for creating improved profiles.,Success,,Success,,Fail,,
Phil,413923,2,Customers who have spent a lot in the last 6 months have a high email open rate have children in their household and do not have an active support issue,This analyzes customer data to identify customers who have placed multiple orders totaling over $300 in the past 6 days excluding those who have opened marketing emails. It finds customers with multiple recent high-value orders without expressed disinterest.,Fail,,Fail,,Success,,
Phil,284600,2,Users that have submitted a signup form have browsed using a mobile device click through an email in the last 7 days but who have not recently churned,This examines audience data to identify those who have interacted through web forms mobile devices and email in the past week excluding recent registrants and churned users.,Fail,,Fail,,Success,,
Phil,416438,2,Users who have visited the website looking for moving storage in the last 14 days or have a reservation date 30 days from now. They also must have been a customer in the last 5 years have income over 200K haven't completed the reservation process and are opted in for email marketing,This analyzes customer data to identify active high-value customers for marketing. It selects customers who have recently visited the site provided contact info made purchases work for companies and shown interest. It excludes those who opted-out of communication.,Fail,,Fail,,Success,,
Phil,369448,2,Users from new york who have spent at least 1000 in the last year,The summary discusses customers who placed an order in the past year with net price over $1000 and are located in New York state.,Success,,Success,,Success,"Kind of weird language using ""The summary discusses...""",
Phil,293328,2,Customers who are millenial pet owners with children have new business accounts a high propensity to purchase pet insurance are at a contact_id level and are not on a no-contact list have resent contact with an agent or has recently opened a claim,This summarizes the identification of a specific audience segment based on attributes like customer data user profiles model scores and event history excluding those who have opted out of email or were recently engaged.,Fail,,Fail,,Success,,
Peter,324766,1,It doesn't make sense becuase one of the attributes is a check-in for a reservation and the other is a claim submission date. They're not the same event type so they shouldn't be under the same behavior criteria,"This SQL query retrieves customer IDs from an aiq_customers table. It left joins an events table filters for events in the past 6 months with a ""check_in"" name and groups the results by customer ID.",Success,,Success,,Fail,"It's describing a sql query with sql terms like ""left joins""",This isn't even a valid audience haha
Peter,306989,1,People who are new clients because they became a client in past 30 days,Customers with registration dates in the past 30 days are identified.,Success,,Success,,Success,,"I don't like the ""are identified"" wording"
Peter,344051,1,Active HSA Account holders are people are individuals who have an HSA account and whose plan started at the start of 2023,"This transformation identifies individual customers who have engaged in events after a specified date and returns their aiq_ids. It finds individual customers by matching first names against ""individual"" and selecting ids marked ""HSA"". The results are intersected to return only ids matching both conditions.",Success,,Success,,Fail,This is very sql-y,
Peter,336219,1,Happy customers whose most engaged category was software in last 40 days,The query selects AIQ customer IDs from multiple sources using joins and set operations. It finds active users customers who viewed software recently those without recent events or open tickets and customers with open tickets. It returns the intersecting set of AIQ IDs across these groups.,Fail,It says it excluded customers with open tickets and includes customer with open tickets.. huh?,Not sure,Didn't look at child audience definitions,Fail,"Again to SQL and mathy using terms like ""joins"" ""set operations"" and ""interesecting"".",
Peter,374032,1,People who are not digital subscribers yet but have opened an email recently often browse drama or thriller and are contactable via email,The query selects audience IDs from the customer base who have either opened an email or visited the website with browser Thriller or Drama in the past 30 days and viewed over 5 content tags excluding those who have opted out of emails or are paid users.,Fail,it says opened an email in past 30 days but the actual criteira is past 2 days,Not sure,Composite audience so not seeing the whole defn,Not sure,It's not sql but not sure how useful it is compared to our composite audience ui... it almost feels like we'd do a better job describing the audience just looking at the names of the audiences used to compose it,
Peter,411841,1,Propsects who browse the internet have children in their household and arent on a hulu suppression list.,This SQL query identifies customers who have recently browsed the internet have incomplete user profiles have provided company information and either frequently click on display ads or are associated with Hulu. It does this by joining multiple customer data tables applying filters and aggregate logic and set operations like INTERSECT and EXCEPT to find the desired audience.,Fail,It looks like it says it includes people associated to hulu but hulu is the suppresion list,Not sure,Composite audience so not seeing the whole defn,Not sure,The first part even though its wrong is readable. Then it gets to throwing around SQL terms again at the end which would scare off biz users,"Prompt should say not to return ""SQL"" ""Query"" ""Intersect"" ""Execept"" ""aggregate logic"" etc terms"
Peter,364524,1,People with valid email addresses and have submitted a form,This SQL query selects IDs from two tables aiq_customers_base__latest and users__latest. It performs a join between the tables and applies filters to only include IDs where the email field in users__latest is not empty or 'N/A'. The intersect clause finds the IDs present in both result sets to identify customers who have started a form and have a valid email address.,Not sure,This is basically SQL but written out in a sentence so I'm not trying to validate it,Not sure,Composite audience so not seeing the whole defn,Fail,This is basically SQL,
Peter,374613,1,Contactable People with active joint or individual broker account that opened in last 2 years they high frequency trade they have over 250k in investable assets and have done over 50 trades,This analysis identifies customers who have been active high spenders in the past 2 years excluding those who have opted out of email communication. It pulls customer data from multiple sources to determine eligibility based on account type tenure event activity purchase history and email preferences.,Not sure,"Nothing about the composite makes it look like it's looking at ""active high spenders"" but maybe theres some mocking going on below.",Not sure,Composite audience so not seeing the whole defn,Success,Maybe because it brief but it feels friendlier and doesn't use SQL terms.,
Peter,374613,2,,This summary retrieves audiences with high spend and event engagement excluding those who opted out of emails.,Not sure,,Not sure,,Success,,
Allan,384009,1,This is an audience of people who belong to accounts where the lead grade is not high,Customers without high model scores are identified.,Success,I don't have a lot of context on the data model here is but this seems like a good high level interpretation of the audience criteria.,Fail,The AI explanation doesn't seem to include much detail about the audience criteria like the values of the attributes in the criteria or the fact that the business defines 'High Lead Grade' as >5 leads per account.,Success,Concise easy to understand.,
Allan,386672,1,This is an audience of customers who have browsed the music videos page for more than 10 hours in total over the last 90 days.,The information summarizes the criteria used to identify audience members who have viewed music videos on the website 10 or more times in the past 90 days and also have provided a valid email address company ID country and country code in their user profile.,Not sure,I completely omitted the 'Active Customer' piece in my audience description which is defined in attribute 64143 that is the hardest attribute to understand but it seems to have figured out what the transformation is doing. Bravo OpenAI. It did say this audience is qualifying users who have visited the music video website 10 times but it's actually 10 hours.,Success,Every audience criteria was captured,Success,It's a bit wordy but the description is easy to understand,
Allan,335955,1,People who purchased Wiper Bladers in the L6M,This analysis identifies customers who purchased wiper blades within the past 6 months. It joins customer data with order and product information to find the subset of customers that meet the criteria. Their IDs are returned.,Success,Correctly captured the audience criteria,Success,Every audience criteria was captured,Fail,It started talking about table joins and what values the query is returning.,
Allan,390320,1,This is an audience of regular shoppers with discretionary income who have purchased craft beer but not in our stores. It does not include people who have opted out of email marketing or have redeemed an offer for craft beer in the last 30 days.,The query identifies customers who have placed at least 4 orders in the past week where they spent money and have ordered beer in the past but spent $0 and work at select beer-related companies and have been modeled as likely to respond to outreach but have not opted out of emails and do not have past orders containing beer in the line item description. The customers are identified so they can be sent promotional emails.,Fail,Part of it sounds convincing but this is so hard to understand that I can't say whether it's accurate or not,Fail,Hard to understand,Fail,Hard to understand also talks about the query and gets into the technical definitions of some audiences/attributes,
Allan,379275,1,This is an audience of people who have property insurance and intend to purchase a vehicle. Their intention into a vehicle purchase was determined by their browsing history into vehicle insurance and them starting but not finishing a form for an insurance quote. People who have an active vehicle claim or who have opted out of marketing outreach are removed from the audience.,The summary discusses identifying an audience based on their online behaviors and attributes to target for a marketing campaign specifically those interested in vehicles or life insurance who have clicked on relevant content completed forms and have high purchase propensity scores while excluding those who have opened emails or opted out of communications.,Fail,The description is not very coherent. A lot of the audience criteria are mentioned but there's no sense as to how these are attributes with values that are defining an audience.,Fail,Incoherent description. A lot of buzz words no content. The crypto bro syndrome.,Fail,Incoherent description. A lot of buzz words no content. The crypto bro syndrome.,
Allan,293328,1,This is an audience of millennial pet owners with children who have opened a business account in the last 60 days and are likely to purchase pet insurance. It excludes people who have recently been assigned an agent have opted out of marketing communications or have opened an insurance claim already.,The query identifies customers who have company accounts match a name pattern have been recently updated have high pet insurance propensity scores are user accounts but excludes those who have opted out of emails or have recently had events.,Fail,No good description of the audience. All fluff no content.,Fail,No good description of the audience. All fluff no content.,Fail,No good description of the audience. All fluff no content.,
Allan,283752,1,People who have subscribed,The summary describes an identifier for customers being retrieved from a customer information table. This identifier is joined to an events table on the same identifier. The joined results are filtered for events where the action is 'subscribe'. Finally the query returns the unique customer identifiers where a 'subscribe' event appears.,Success,Technically this is correctly capturing the audience description but doing so in an overly complicated way,Not sure,It's complete but it's complicated,Fail,Very un-friendly. It's describing the whole query not necessarily the audience description.,
Allan,336219,1,This is an audience of current customers who have mostly engaged with the 'Software' category in the last 40 days. It does not include people who have contacted their account manager or opened a support ticket.,The query first selects AIQ customer IDs of active users from the users table. It then intersects this with AIQ customer IDs from the clickstream table where the event date is within the past 40 days and the event action is 'Software'. This result is then subtracted from AIQ customer IDs from the events table where the date is within the past 7 days or the date is within the past 10 days and the event name is 'ticket opened'. It also subtracts AIQ customer IDs from the users table where the user ID is 'open ticket'. The final result is a set of AIQ customer IDs.,Fail,Too complicated. I don't even know what this is saying,Fail,Too complicated. I don't even know what this is saying,Fail,Zero,
Allan,384009,2,,The summary describes customers without high model scores who lack many moderately high scores.,Not sure,Feels a bit wordy and redundant.,Fail,Same reasons as in the first pass: the explanation doesn't seem to include much detail about the audience criteria like the values of the attributes in the criteria or the fact that the business defines 'High Lead Grade' as >5 leads per account.,Fail,"Wordy and redundant. Also it's not clear what ""the summary"" is referring to (or summarizing).",
Allan,386672,2,,The summary discusses the identification of audience members who viewed at least 10 music videos in the past 90 days and have valid contact information by examining their activity in the video streaming platform and cross-referencing their profile data.,Fail,This assumes that people watched 10 music videos in the las 90 days but the audience criteria is users who have spent 10 hours watching music videos in the past 90 days. Also it might have hallucinated when it went off talking about examining activity in a video streaming platform and cross-referencing their profile data. Don't know what that's about feels like it's making things up but trying to sound convincing by using buzz words. It went on a crypto bro hallucination I guess.,Fail,It hit every criteria in the audience description but described 'Active Users' in a weird way.,Fail,Crypto bro hallucination,
Allan,335955,2,,The query retrieves customer IDs from the aiq_customers table who placed an order for wiper blades in the past 6 months joining the orders and products tables.,Success,Correctly captured the audience definition,Success,Every audience criteria was captured,Fail,It's talking about table names and joins which wouldn't be relevant to business users,
Allan,390320,2,,The query identifies customers who have placed frequent beer orders in the past month from select craft breweries excluding those who opted out of emails or ordered beer-related products to target for a new promotion.,Fail,It fails to capture a lot of the criteria in the audience definition,Fail,Fails to capture a lot of the criteria in the audience definition,Fail,Talks about the query and gets into the technical definitions of some audiences/attributes,
Allan,293328,2,,This summarizes the criteria used to identify an audience of pet insurance interested millennials from customers including matching user first name to 'Millennial Pet Owner' having a high pet insurance propensity model score being a user account type having company or user account updates in the past 60 days and excluding those who have opted out of email had an event in the past 21 days or opened an email.,Fail,There's too much going on here and the description is not really providing insights into how the audience is defined.,Fail,There's too much going on here and the description is not really providing insights into how the audience is defined.,Fail,What is this even saying?,
Allan,283752,2,,The summary describes a process that retrieves customer IDs from a customer data table joins them with a clickstream data table to find customers who took the 'subscribe' action and returns a list of those customer IDs.,Success,Technically this is correctly capturing the audience description but doing so in an overly complicated way,Success,Technically this is correctly capturing the audience description but doing so in an overly complicated way,Fail,Goes too deep into the query joins table names etc,
